Time (min),CRY_ANIMO,CRY_ODE,
1354.715, ,79.8526,
1356.4228, ,79.5181,
1358.1304, ,79.1856,
1359.4364, ,78.851,
1360.692, ,78.5143,
1361.9477, ,78.1755,
1364.1075, ,77.8385,
1368.3767, ,77.4994,
1370.0844, ,77.1584,
1372.646, ,76.8153,
1373.0478, ,76.4737,
1376.0614, ,76.1302,
1378.5727, ,75.7848,
1379.3261, ,75.4374,
1381.5864, ,75.0912,
1384.5498, ,74.7432,
1387.5633, ,74.3933,
1389.6728, ,74.0417,
1390.5267, ,73.6907,
1392.2344, ,73.338,
1393.2892, ,72.9835,
1396.0516, ,72.6274,
1397.3575, ,72.2713,
1399.9191, ,71.9136,
1402.0287, ,71.5542,
1405.8961, ,71.1932,
1406.75, ,70.8315,
1407.1518, ,70.4682,
1409.3115, ,70.1032,
1411.0192, ,69.7368,
1413.9826, ,69.3683,
1421.6673, ,68.9983,
1423.7768, ,68.6268,
1426.3383, ,68.2538,
1426.812,96.2963, ,
1427.6442, ,67.8768,
1428.0461, ,67.4984,
1429.7538, ,67.1184,
1432.3154, ,66.737,
1434.8769, ,66.3484,
1437.4384, ,65.9583,
1440,96.2963,65.5667,
