Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.1274, , , , , , , , , ,46.4286, , , , , , , , , , , , , , , , , , , , , ,
0.1276, , , , , , , , , , , , ,48.8889, , , , , , , , , , , , , , , , , , ,
0.1277, , , , , ,92.5532, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1281, , , , , , ,39, , , , , , , , , , , , , , , , , ,10, , , , , , ,
0.129, , ,99.94,9.3564,0.639, , ,59.4883, , ,69.6407,12.0198, , , ,76.3904,52.7843, , , ,32.9131,99.0562,69.017, , ,89.0682,75.9089, , ,89.7172,37.6037,
0.1299, , , , , , , , , ,47.619, , , , , , , , , , , , , , , , , , , , , ,
0.1301, , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , ,
0.1307, , ,99.8933,9.6984,0.7318, , ,59.0481, , ,70.4315,12.4434, , , ,76.9423,53.4237, , , ,33.5748,99.1902,69.656, , ,89.4985,76.4599, , ,90.1525,38.2237,
0.1314, , , , , , , , , , , , , , , , , ,64.7059, , , , , , , , , , , , , ,
0.132, , , , , , , , , , , , ,50,32.3529, , , , , , , , , , , , , , , , , ,
0.1323, , , , , , , , , , , , , , , , , , ,40, , , , , , , , , , , , ,
0.1327, , , , , , ,38, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1328, , , , , , , , , , , , , , ,4.6154, , , , , , , , ,47.0588, , , , , , , ,
0.1345, , , , , , , , , ,48.8095, , , , , , , , , , , , , , , , , , ,33.9623, , ,
0.1348, ,88.8889, , , , , , , , , , , ,30.8824, , , , , , , , , , , , , , , , , ,
0.1369, , , , , , , , , , , , , , , , , ,58.8235, , , , , , , , , , , , , ,
0.137, , , , , , ,37, , ,47.619, , , , , , , , , , , , , , , , , , , , , ,
0.1374, , , , , , , , , , , , , , ,6.1538, , , , , , , , , , , , , , , , ,
0.1375, , , , , , , , , , , , ,51.1111, , , , , , , , , , , , , , , , , , ,
0.1377, , , , , , , , ,18.8406, , , , , , , , , , , , , , , , , , , ,32.0755, , ,
0.1379, , , , , ,91.4894, , , , , , ,50, , , , , , , , , , , , , , , , , , ,
0.1384, , , , , ,92.5532, , , , , , ,51.1111,32.3529, , , , , , , , , , , , , , , , , ,
0.1389, , , , , , , , , , , , , , , , , ,64.7059, , , , , , , , , , , , , ,
0.1392, , , , , , , , , ,48.8095, , , , , , , , , , , , , , , , , , , , , ,
0.14, , , , , ,91.4894, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1405, , , , , , , , , , , , ,51.1111, , , , , , , , , , , , , , , , , , ,
0.1407, , , , , ,92.5532, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1412, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1418, , , , , , , , , ,50, , , , , , , , , , , , , , , , , , , , , ,
0.1423, , , , , ,91.4894, , , , , , ,51.1111, , , , , , , , , , , , , , , ,33.9623, , ,
