t,CLK,CLK/CYC,per,PER,tim,TIM,PER/TIM,cwo,CWO,pdp1,PDP1,vri,VRI,clk,CRY
1091.572221,40.46722516,31.44931136,30.72504324,15.00344345,26.83237801,17.72199538,12.34242331,1.476208876,1.025735971,18.15501602,20.16503225,8.999610908,6.794308731,15.1746767,67.18055534
1091.615285,40.4464622,31.5157738,30.82990406,15.07749258,26.95816086,17.82648399,12.37503146,1.493016222,1.026160305,18.21452733,20.2223808,9.040082917,6.806421325,15.17613993,67.06083076
1091.658349,40.42621363,31.58156095,30.93369249,15.15189415,27.08374979,17.93116005,12.40831581,1.510004208,1.026619143,18.27418745,20.28021828,9.080503677,6.818708393,15.17785502,66.94034311
1091.701413,40.40648212,31.64667096,31.0364101,15.22663932,27.20912978,18.03601155,12.44227934,1.527172424,1.027112818,18.33399148,20.33854075,9.120868054,6.831169485,15.17982258,66.81909777
1091.744476,40.38727031,31.7111016,31.13805844,15.30171915,27.33428588,18.14102644,12.47692492,1.54452037,1.027641668,18.39393447,20.39734417,9.161170928,6.843804129,15.1820432,66.69710012
1091.78706,40.36878616,31.77414377,31.23752429,15.37628272,27.45781277,18.24502019,12.51185787,1.561851191,1.028199544,18.45334138,20.45596129,9.200959269,6.856468179,15.18448851,66.57572729
1091.829644,40.3508153,31.83651616,31.33594753,15.45115594,27.58109184,18.34915053,12.54746297,1.579356525,1.028792473,18.51287448,20.51504059,9.240677541,6.869300952,15.1871824,66.45362939
1091.872228,40.33336021,31.89821537,31.43332954,15.52632997,27.70410882,18.45340605,12.58374261,1.597035621,1.029420787,18.57252887,20.57457789,9.28032082,6.882301927,15.19012542,66.33081174
1091.914812,40.31642338,31.95923748,31.52967162,15.60179587,27.82684949,18.55777532,12.62069907,1.614887633,1.030084817,18.63229964,20.63456896,9.319884189,6.895470558,15.19331808,66.20727965
1091.956977,40.30016632,32.01898736,31.62404182,15.67679763,27.94809573,18.66121804,12.65796067,1.632733353,1.030777829,18.69159181,20.69441231,9.358974539,6.908674191,15.1967258,66.08426495
1091.999142,40.28442217,32.0780641,31.71739463,15.75206794,28.06904345,18.76475019,12.69588987,1.650746662,1.031506511,18.75098833,20.75469199,9.397976965,6.922041068,15.20037925,65.96056027
1092.041307,40.26919327,32.13646203,31.80973085,15.82759792,28.18967896,18.86836091,12.73448845,1.668926447,1.03227119,18.81048429,20.81540364,9.436886707,6.935570596,15.20427893,65.83617085
1092.083472,40.25448197,32.19417479,31.90105113,15.90337866,28.30998859,18.97203929,12.77375808,1.687271491,1.033072193,18.87007472,20.8765428,9.475698997,6.949262157,15.20842528,65.71110198
1092.125279,40.24040877,32.25071439,31.99059405,15.97875523,28.42894242,19.07489421,12.81335861,1.705622769,1.033902589,18.92924794,20.93758092,9.514081118,6.962996914,15.21278043,65.58642849
1092.167086,40.22684894,32.30656545,32.07913871,16.05436064,28.54754915,19.17779451,12.8536217,1.724133822,1.034769341,18.98850412,20.99903035,9.552358089,6.976889692,15.21737894,65.4610974
1092.208893,40.2138047,32.36171907,32.16668495,16.13018599,28.66579548,19.28072977,12.89454854,1.742803147,1.035672772,19.04783825,21.06088651,9.590525241,6.990939821,15.22222121,65.33511393
1092.2507,40.20127825,32.41616528,32.25323226,16.20622234,28.78366805,19.38368952,12.93614018,1.761629128,1.036613205,19.10724523,21.1231447,9.628577887,7.005146608,15.22730764,65.2084833
1092.292217,40.18935332,32.4695226,32.33818951,16.28193089,28.90033953,19.48594864,12.97810197,1.78047778,1.037584048,19.16630692,21.185364,9.666248484,7.019409126,15.23260076,65.08209624
1092.333734,40.1779433,32.52215916,32.42215951,16.35782971,29.01661609,19.58821149,13.02072098,1.799477406,1.038592018,19.22543021,21.24797033,9.70379688,7.033824704,15.23813538,64.95508132
1092.375251,40.16705028,32.57406131,32.50514049,16.43390984,29.1324845,19.69046799,13.06399778,1.818626075,1.039637432,19.28460986,21.31095884,9.7412184,7.048392595,15.24391183,64.82744374
1092.416768,40.15667637,32.62521385,32.58713017,16.51016225,29.24793144,19.79270795,13.1079328,1.837921731,1.040720606,19.34384055,21.37432463,9.778508332,7.063112025,15.24993045,64.6991887
1092.458076,40.14687198,32.6753478,32.66771982,16.58619215,29.36236466,19.8944059,13.1522998,1.857263812,1.041836109,19.40281785,21.43774036,9.815474928,7.077906841,15.25615936,64.57097273
1092.499383,40.13758552,32.72470445,32.7473219,16.66237456,29.47635397,19.99606748,13.19731873,1.87674696,1.042989618,19.46183482,21.50151955,9.852301799,7.092850071,15.26262858,64.44215586
1092.540691,40.12881898,32.77326319,32.82593225,16.73870037,29.58988581,20.09768275,13.24298953,1.896368761,1.044181444,19.52088587,21.56565709,9.888984127,7.107940878,15.26933839,64.31274329
1092.581999,40.12057434,32.82100107,32.90354592,16.8151604,29.7029464,20.19924162,13.28931195,1.916126655,1.045411898,19.57996526,21.63014775,9.925517014,7.123178397,15.27628905,64.18274023
1092.623202,40.11287237,32.86777548,32.97996508,16.89155201,29.81523835,20.30047798,13.33616624,1.935967586,1.046678036,19.63891795,21.69482218,9.961803887,7.138522742,15.28346234,64.05248213
1092.664405,40.10569352,32.91368,33.05538015,16.96805869,29.92703335,20.40163818,13.38366786,1.955938404,1.047983219,19.69788699,21.75983728,9.997932062,7.154011264,15.29087573,63.92164693
1092.705609,40.0990397,32.95868359,33.12978335,17.04467106,30.03831691,20.50271215,13.43181606,1.976036116,1.049327752,19.75686616,21.82518757,10.03389636,7.169643021,15.29852941,63.79023985
1092.746812,40.09291278,33.00275184,33.20316574,17.12137967,30.14907417,20.60368963,13.48060989,1.996257564,1.050711936,19.8158491,21.89086744,10.06969148,7.185417043,15.30642357,63.65826614
1092.788059,40.08730898,33.0458918,33.27559297,17.1982561,30.25940594,20.7046667,13.53010073,2.016620958,1.052137594,19.87489143,21.95694106,10.10534946,7.201349206,15.3145671,63.52559083
1092.829306,40.08223689,33.08801438,33.34697542,17.2752097,30.3691792,20.80552628,13.58023611,2.037101495,1.053603586,19.93392403,22.02333342,10.14082676,7.217421896,15.32295194,63.39235826
1092.870553,40.07769832,33.12907304,33.41729987,17.35223065,30.4783776,20.90625778,13.63101447,2.057695459,1.055110205,19.99293973,22.09003855,10.17611753,7.233634043,15.33157823,63.25857372
1092.9118,40.07369507,33.16901649,33.48655136,17.42930902,30.58698417,21.00685035,13.68243411,2.078398935,1.056657744,20.0519311,22.15705036,10.21121566,7.24998454,15.34044608,63.12424256
1092.953312,40.07020834,33.20803411,33.55514837,17.50693143,30.6956746,21.10793908,13.73483033,2.099342107,1.058256853,20.11126984,22.22479698,10.24633887,7.266578845,15.34961502,62.98849998
1092.994825,40.06726741,33.245802,33.62262237,17.58459135,30.80372892,21.20886445,13.78787196,2.120387592,1.059897992,20.17056777,22.29284145,10.2812538,7.283310928,15.3590288,62.85221457
1093.036337,40.06487405,33.282251,33.68895177,17.66227818,30.91112745,21.30961469,13.84155661,2.141530706,1.061581445,20.2298162,22.36117711,10.31595338,7.300179543,15.36868749,62.7153918
1093.07785,40.06302998,33.31730561,33.75411247,17.73998112,31.01784956,21.41017766,13.89588162,2.162766511,1.063307491,20.28900597,22.42979716,10.35043017,7.317183401,15.37859112,62.57803716
1093.11998,40.06172182,33.35137207,33.81902066,17.81884584,31.1254463,21.51203314,13.95166705,2.184407827,1.06510306,20.34900695,22.4997222,10.38518432,7.334577264,15.3888926,62.43809985
1093.162111,40.06098294,33.38382494,33.88266651,17.89770412,31.23230006,21.61366939,14.00810586,2.2061335,1.066943062,20.40892702,22.56992545,10.41969234,7.352107602,15.39944636,62.29762613
1093.204241,40.06081505,33.41456428,33.94501561,17.97654396,31.33838552,21.71507247,14.06519455,2.227937456,1.068827767,20.468755,22.6403992,10.4539451,7.36977291,15.41025236,62.15662178
1093.246371,40.06121986,33.44348328,34.00602998,18.05535309,31.4436759,21.81622776,14.12292933,2.24981328,1.070757441,20.52847903,22.71113552,10.48793293,7.387571625,15.42131052,62.01509258
1093.289696,40.06223518,33.47120454,34.06733838,18.13635138,31.55109251,21.91997658,14.18297058,2.27237716,1.072788993,20.58977481,22.7841426,10.52259735,7.406012397,15.4329451,61.86900942
1093.333021,40.06385966,33.49675142,34.12714177,18.21728986,31.65760574,22.02343009,14.24368609,2.295002111,1.074868634,20.65093303,22.85740953,10.556959,7.424590691,15.44484612,61.72238367
1093.376346,40.06609504,33.51999043,34.18538624,18.29815407,31.76318103,22.12657023,14.30507081,2.317679923,1.07699662,20.71193843,22.93092681,10.59100542,7.443304584,15.4570134,61.57522165
1093.419671,40.06894303,33.54078559,34.24201352,18.37892911,31.86778185,22.22937794,14.36711934,2.34040194,1.079173191,20.77277492,23.00468463,10.62472337,7.462152073,15.46944675,61.42752969
1093.465099,40.07258904,33.55981679,34.29958478,18.46351307,31.97637217,22.33679785,14.43288685,2.364264592,1.081507858,20.83636491,23.08227048,10.65971029,7.482055761,15.48276919,61.2721054
1093.510527,40.07691229,33.57585702,34.35523229,18.54796379,32.08380202,22.44380609,14.49937086,2.388154783,1.083896435,20.89972988,23.16009749,10.69430386,7.50210151,15.49638357,61.11611276
1093.555956,40.0819146,33.58876275,34.40887512,18.63226231,32.19002252,22.55037711,14.56656388,2.412060927,1.086339146,20.96284824,23.23815304,10.72848639,7.522286676,15.51028951,60.9595591
1093.601384,40.08759775,33.59840458,34.46042885,18.71638902,32.29498289,22.65648395,14.63445795,2.435970915,1.088836193,21.02569748,23.31642403,10.76223949,7.542608491,15.52448661,60.80245175
