Time (min),clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
1091.309345,0.0012632409,5.1196728518,89.9989925963,81.8592788101,33.0312104492,58.3553836269,42.6448352512,6.4842300496,29.5665556879,0.0999745529,43.6356464766,20.9231630168,58.3663940606,10.0416011206,81.500807495
1091.353568,0,4.8893598027,90.279992593,82.2840872021,33.6079249635,58.9459855114,43.220540786,6.7567210355,30.1125093173,0.1342605409,44.189095639,21.3780339203,58.9670310084,10.3785892942,81.172965179
1091.397791,0.004388157,4.6639859726,90.5582543041,82.7046646885,34.1879799677,59.5361030854,43.7977466727,7.0356348212,30.664939252,0.1737231477,44.7442734434,21.8373029761,59.5673673177,10.7211168855,80.8427944758
1091.441398,0.0142651315,4.4466120649,90.8299607847,83.1152512454,34.7631653493,60.1174608809,44.3683189892,7.3169930651,31.2160263171,0.217756475,45.2933729028,22.2944584613,60.1589767133,11.0642925576,80.5149533261
1091.485006,0.0296681095,4.2340952395,91.0990003061,83.5217329775,35.3414613849,60.6982013441,44.9402106126,7.6046668948,31.7734128908,0.2669241667,45.8440619867,22.755830889,60.750137639,11.4128340511,80.1848784287
1091.528614,0.0506120087,4.0264622167,91.3653696491,83.9241150451,35.9227986929,61.2782523099,45.5133526381,7.8986895708,32.3370960953,0.3212772298,46.3962950933,23.2213898264,61.3407727853,11.7667301318,79.8525849181
1091.572221,0.0771110979,3.8237396228,91.6290645862,84.322402906,36.5071071872,61.8575419765,46.0876760521,8.1990935175,32.9070702428,0.3808668224,46.9500261596,23.6911037801,61.9308050153,12.1259689711,79.5180880122
1091.615285,0.1087457383,3.6283897758,91.886841575,84.7117116387,37.0869758167,62.4287905187,46.6559292621,8.5020438406,33.4761019372,0.444902485,47.4982767751,24.159006533,62.5128122287,12.4859588719,79.1856151642
1091.658349,0.1458255243,3.4378796051,92.141999427,85.0970389912,37.6696043559,62.9991583644,47.2252019043,8.811276489,34.0512494029,0.514145099,48.0478983093,24.6308984312,63.0940824565,12.851134192,78.8510232856
1091.701413,0.1883636441,3.2522342317,92.3945309668,85.4783907923,38.2549235797,63.5685772996,47.7954286634,9.126819149,34.632498759,0.588644917,48.598845621,25.1067473284,63.6745418693,13.2214815572,78.5143273164
1091.744476,0.2363728532,3.0714784943,92.6444275455,85.8557727966,38.8428634803,64.1369794282,48.3665440064,9.4486984845,35.2198330773,0.668452946,49.1510731078,25.5865202625,64.254116839,13.5969869396,78.1755421969
1091.78706,0.2892398,2.8975689999,92.8889388928,86.2250520375,39.4267606192,64.6979824253,48.9321059586,9.7732476689,35.8065876095,0.7526412489,49.6983619336,26.0647731881,64.8262925734,13.973366277,77.8384921904
1091.829644,0.3474809796,2.7284888325,93.130852474,86.5904604601,40.0130825851,65.2578599366,49.4984107449,10.1040415517,36.3992504765,0.842119352,50.2468132904,26.5467970076,65.3974606814,14.3547601122,77.4994286786
1091.872228,0.4111082831,2.5642613253,93.3701551021,86.9520031879,40.6017601531,65.8165471543,50.065396313,10.4411023374,36.9977962523,0.936937357,50.7963820368,27.0325576167,65.9675503535,14.7411529609,77.1583664349
1091.914812,0.4801327365,2.4049099058,93.6068315733,87.3096850472,41.1927233151,66.3739794975,50.6330005016,10.7844512086,37.6021962948,1.0371452146,51.3470229392,27.5220205029,66.5364908809,15.1325285959,76.8153202051
1091.956977,0.5538067294,2.2519541526,93.8385736542,87.6600460587,41.7800518602,66.9246248187,51.1955657198,11.1306350234,38.2063833146,1.1417267061,51.8932547176,28.0102781522,67.0986291645,15.5249445008,76.4737107573
1091.999142,0.6327933391,2.1038241512,94.0677049371,88.0066298843,42.3694833837,67.4739143979,51.7586172962,11.483021264,38.8162442493,1.2516911085,52.4404478251,28.502095787,67.6595030582,15.922212066,76.1301852484
1092.041307,0.7171033753,1.9605419175,94.2942034308,88.3494394942,42.9609483475,68.021786061,52.3220961694,11.841626468,39.4317414171,1.3670877688,52.988557028,28.9974378344,68.2190441108,16.3243136673,75.7847582298
1092.083472,0.8067463509,1.8221295618,94.5180444677,88.6884773014,43.5543769786,68.5681777253,52.8859430063,12.2064661506,40.0528336152,1.4879660343,53.53753654,29.4962679055,68.7771837561,16.7312309376,75.4374443916
1092.125279,0.9009035264,1.6897208172,94.737335361,89.0209164403,44.1446406096,69.1084119622,53.4453115197,12.5743801033,40.6741368724,1.613279957,54.0826724862,29.9942735985,69.3291373616,17.1394320059,75.091228516
1092.167086,1.00032208,1.5621421522,94.9539557268,89.3496494158,44.7366962554,69.6470698286,54.0049268288,12.9484496572,41.3008494928,1.744080314,54.6285727051,30.4956351406,69.8795788588,17.5523295054,74.743186498
1092.208893,1.1050106593,1.439414454,95.1678710463,89.6746756338,45.3304742214,70.184090922,54.5647322651,13.3286858681,41.9329205906,1.8804158485,55.1751910418,31.0003151639,70.4284411053,17.9699035235,74.3933328332
1092.2507,1.2149779125,1.3215584213,95.3790426503,89.995993201,45.9259044995,70.7194145673,55.1246708884,13.7150984912,42.5702954543,2.0223353042,55.7224805125,31.5082753215,70.9756566997,18.392133464,74.0416820177
1092.292217,1.329413748,1.2093618342,95.5859909549,90.3114074742,46.5187678206,71.2492834077,55.6807991898,14.1049500417,43.2084378704,2.1688438914,56.2665889835,32.0159181784,71.5173782432,18.8160197464,73.6907075913
1092.333734,1.4490707488,1.1020098158,95.7901437657,90.62315646,47.1131211201,71.7773587009,56.2369477764,14.5009075814,43.8516916819,2.3209552632,56.8112649473,32.5267187855,72.0573424769,19.2444550175,73.3379896098
1092.375251,1.5739560494,0.9995220303,95.9914481406,90.931233587,47.7088942335,72.3035803623,56.7930618291,14.902976406,44.4999915126,2.4787172578,57.3564601302,33.0406375722,72.5954821718,19.6774170764,72.9835425135
1092.416768,1.7040770004,0.9019183297,96.1898451259,91.2356303904,48.306016448,72.8278878985,57.3490859302,15.3111605104,45.1532677543,2.6421775623,57.9021255213,33.5576345597,73.1317295672,20.1148829196,72.6273807427
1092.458076,1.8387443649,0.8096730002,96.3842914728,91.5348294097,48.901396217,73.3475915792,57.902162352,15.723357982,45.8081157669,2.8105165918,58.4454565457,34.075039004,73.6633272333,20.554589257,72.2713274686
1092.499383,1.9786071671,0.7223006534,96.5757230335,91.8303619536,49.4979702711,73.8652792223,58.4550409784,16.1416122953,46.4677397621,2.9845910548,58.9891530317,34.5954088928,74.1929155858,20.9987065028,71.9136055067
1092.540691,2.1236714607,0.6398200125,96.7640598712,92.1222125774,50.095667271,74.3808892446,59.0076677513,16.565922893,47.1320580114,3.1644478837,59.5331634813,35.1187025337,74.7204253395,21.4472097809,71.5542292975
1092.581999,2.2739428667,0.5622497064,96.9492129735,92.4103629038,50.6944153294,74.8943590636,59.5599877973,16.9962874523,47.800983843,3.3501340112,60.0774350144,35.6448772558,75.2457860589,21.9000733834,71.1932133089
1092.623202,2.4290274737,0.4897851511,97.1306292225,92.6940784644,51.2926276001,75.404338069,60.1105538976,17.4315934201,48.4727209861,3.5412051623,60.620539318,36.1725513442,75.767608977,22.3561118864,70.8314890791
1092.664405,2.5893029782,0.4222424092,97.3086715715,92.974066217,51.8917409683,75.9120601534,60.6607058077,17.8729134927,49.1488556004,3.7381685408,61.1637942468,36.703004935,76.2871497405,22.8164353728,70.4681622538
1092.705609,2.7547734882,0.3596394508,97.4832196307,93.2502972773,52.4916819804,76.4174595097,61.2103887625,18.3202407021,49.8292863545,3.9410701739,61.7071424986,37.2361933172,76.8043338729,23.2810158461,70.1032473288
1092.746812,2.9254431113,0.3019938702,97.6541399398,93.5227384546,53.0923766349,76.9204686506,61.759546964,18.7735662224,50.5139063307,4.1499554851,62.2505254817,37.7720707193,77.3190851432,23.7498244775,69.7367588832
1092.788059,3.1015040469,0.2492701028,97.8214598423,93.7916334826,53.6943854648,77.4215454093,62.3087029358,19.233367406,51.2033320491,4.3650995808,62.7944555979,38.3111606997,77.8318642735,24.2233331065,69.3683221079
