Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,
1.655, , , , , , ,54, , , , , , , , , ,
1.6592, ,97, , , , ,53, , , , , , , , , ,
1.6635, ,98, , , , ,54, ,43, , , , , , , ,
1.6728, , , , , , , , , , , , , , , ,22,
1.6754, , ,82, ,22,51, , , , , , , , , , ,
1.6805, , , ,22, , ,54, , , , , , , , , ,
1.6856, , ,83, , , , , , , , , , , , , ,
1.6889, , , , , ,51, , , , , , , , , , ,
1.6915, , ,82, , , , , , , , , , , , , ,
1.6932, , , , , ,50, , , , , , , , , , ,
1.6974, , , , , , , , , ,12, , , , , , ,
1.7051, , , , , , ,55, , , , , , , , , ,
1.711, , , , , ,51,54, , , , , , , , , ,
1.7119, , , , , , , , ,42, , , , , , , ,
1.7153, , , ,21, , , , , , , , , , , , ,
1.7212, , , , , , , , , , , , , , ,36, ,
1.7229, , , , , , ,55,27, , , , , , , , ,
1.7263, , , , , ,52, , , , , , , , , , ,
1.7288, , , , , , ,54, , , , , ,9, , , ,
1.7314, , , , , ,51, , , , , , , , , , ,
1.7373, , , , ,23,52, ,28, , , , , , , , ,
1.7399, , , , , , , , , ,13, , , , , , ,
1.7416, , , , , , ,56, ,43, , , , , , , ,
1.7467, , , , , , ,55, , , , , , , , , ,
1.7509, , ,81,20, , , , , , , , , , , , ,
1.7568, , ,82, , , , , , , , , , , , , ,
1.7602, , , , , , ,55, , , , , , , , , ,
1.7653, , ,81, , , , , , , , , , , , , ,
1.7696, , , , , ,52, , , , , , , , , , ,
1.7772, , , , , , , , , ,12, , , , , , ,
1.7823, , , , , , , ,29, , , , , ,1, ,23,
1.7857, , , , ,22, , , , , , , , , , , ,
1.7874, , , ,19, , , , , , , , , , , , ,
1.7908, , , , ,23,53, , , , , , , , , , ,
1.7925, , , , , , ,57, , ,13, , , , , , ,
1.7942, , , , , , ,56, , , , , , , , , ,
1.8078, , , , , , , , , , , , , ,0, , ,
1.8163, , , , , , , , ,44, , ,16, , , , ,
1.8205, , , ,18, ,53, , , , , ,17,10, , , ,
1.8247, , ,80, , , , , , , , , , , , , ,
1.8307, , ,81, , , , , , , , , , , , , ,
1.8349, , , , , , ,57, , , , , , , , , ,
1.8358, , , , , , , , , , , , , , , ,24,
1.8417, , ,80, , , , , , ,14, , , , , , ,
1.8468, , , , , , , , , ,13, , , , , , ,
1.8502, , , , ,24, , , , , , , , , , , ,
1.8536, , , , , ,54, , , , , , , , , , ,
1.8587, , , ,17, , , , , , , , , , , , ,
1.8672, , , , , , , , , , , , , , ,37, ,
1.868, , , , , , , ,30, , , , , , , , ,
1.8731, ,99, , , , , , , , , , , , , , ,
1.8799, , , , , , , , , , , , , , , ,23,
1.8825, , ,79, , , , , , , , , , , , , ,
1.8858, , , , , , , , , , , , , , , ,24,
1.8875, , ,80, , , , , , , , , , , , , ,
1.8892, , , , , , , , ,44, , , , , , , ,
1.8909, , , , , , , , , , , ,18, , , , ,
1.8926, , , ,16, , , , , , , , , , , , ,
1.8969, , , , , , , , , ,14, , , , , , ,
1.9011, , ,79, , , , , , , , , , , , , ,
1.902, , , , , , ,56, , , , , , , , , ,
1.9071, , , , ,25, ,57, , , , , , , , , ,
1.9096, , , , , , , ,31, , , , ,9, , , ,
1.911, ,98, , , , , , , , , , , , , , ,
1.9122, , , , , , ,56, , , , , , , , , ,
1.9156, , , , , , , ,30, , , , , , , , ,
1.9206, , , , , ,55, , , , , , , , , , ,
1.9249, , , , , , , , , ,13, , , , , , ,
1.9283, , , , , , ,57, , , , , ,10, , , ,
1.9308, , , ,15,24, , , , , , , , , , , ,
1.9359, , , , , ,55, , , , , , , , , , ,
1.9376, , ,78, , , , , , , , , , , , , ,
1.9436, , ,79, , , , , , , , , , , , , ,
1.947, , , , , , , , , ,14, , , , , , ,
1.9529, , , , , , , ,31, , , , , , , , ,
1.9571, , ,78, , , , , ,45, , , , , , , ,
1.9631, , , ,14,25, , , , , , , , , , , ,
1.9707, , ,79, , , , , , , , , , , , , ,
1.9707, , ,78, , , , , , , ,6, , , , , ,
1.9767, , , , , , ,57, , , , , , , , , ,
1.9792, , , , , , ,58, , , , , , , , , ,
1.9851, , , , , ,56, , , , , , , , , , ,
1.9945, , ,77, , , , ,32, , , , , , , , ,
1.9962, , , , , , , , , , , , , , , ,25,
1.9979, , , , , , ,58, , , , , , , , , ,
2.0013, , , ,13, , , , , , , , , , , , ,
2.003, , ,78, , , , , , , , , , , , , ,
2.0089, , ,77, , , , , , , , , , , , , ,
2.0149, , , , , , ,57, , , , , , , , , ,
2.0165, , , , ,26, , ,31, , , , , , , , ,
2.0199, , , , , , ,59, , , , , , , , , ,
2.0259, , , , , , ,58, , , , , , , , , ,
2.0276, , , , , , , , , , , , , , , ,24,
2.0284, , , , , , , , ,46, , , , , , , ,
2.0318, , , , , ,56, , , , , , ,11, , , ,
2.0352, , , , , , , ,32, , , , , , , , ,
2.0369, , , ,12, , , , , , , , , , , , ,
2.0412, , , , , , ,58, , , , , , , , , ,
2.0459, , , , , ,57, , , , , , , , , ,25,
2.0496, , ,76, , , , , , ,15, , , , , , ,
2.0573, , , , , , ,58, , , , , , , , , ,
2.0632, , , , , ,57,59, , , , , , , , , ,
2.0675, , , , , , , , , ,14, ,17, , , , ,
2.0726, ,99, ,11, , , , , , , , , , , , ,
2.0743, , , , , , , ,33,45, , , , , , , ,
2.0777, , , , , ,57, , , , , , , , , , ,
2.0853, , , , , , , , , , , , ,10, , , ,
2.0912, , ,75, , , , , , , , , , , , , ,
2.0938, , , , , ,58, , ,46, , , , , , , ,
2.0969, , ,76, , ,57, , , , , , , , , ,26,
2.1055, , , , , , , ,32, , , , , , , , ,
2.1082, , , ,10, ,58, , , , , , , ,1, , ,
2.1099, , ,75, , , , , , , , , , , , , ,
2.1133, , , , , , ,60, , , , , , , , , ,
2.1175, , , , , , , ,33, , , , , , , , ,
2.1218, , , , ,27, , , , , , , , , , , ,
2.1243, , , , , ,58, , , , , , , ,0, , ,
2.1303, , ,74, , , , , , , , , , , , , ,
2.1337, , , , , , , , , , , , ,11, , , ,
2.1354, , ,75, , , , , , ,13, , , , , , ,
2.1396, , , , , ,58, , , , , , , , ,38, ,
2.1447, , , ,9, , , , , , , , , , , , ,
2.1473, , , , , , ,60, , , , , , , , ,27,
2.1498, , ,74, , , , , , ,14, , , , , , ,
2.154, , , , , ,58, , , , , , , , , , ,
2.1557, ,98, , , , , , , , , , , , , , ,
2.1566, , , , , , , ,34,47, , , , , , , ,
2.1591, , , , , , ,60, , , , , , , , , ,
2.1659, , , , , , , , , , , , , , , ,26,
2.1702, , ,73, , ,59, , , , , , , , , , ,
2.1719, , , , , , ,61, , , , , , , , , ,
2.1744, , , , ,28, , , , , , , , , , , ,
2.1753, , ,74, , , ,60, , , , ,18, , , , ,
2.1795, , , ,8, , , , , , , , , , , , ,
2.1905, , ,73, , , ,61, , , , , , , , , ,
2.1922, , , , , , , ,33, , , , , , , , ,
2.1965, , , , , , ,60, , , , , , , , , ,
2.1982, , , , , , , ,34, , , , , , , , ,
2.1999, , , , ,27,59,61, , , , , , , , , ,
2.205, , , , , , ,62, , , , , , , , , ,
2.2101, , ,72, , , ,61, , , , , , , , , ,
2.216, , , ,7, , , , , , , , , , , , ,
2.2219, , , , , , , , ,48, , , , , , , ,
2.2236, , ,73, , , , , , , , , , , , , ,
2.2253, , , , ,28, , , , , , , , , , , ,
2.2279, , ,72, , ,60, , , , , , , , , , ,
2.233, , , , , , , , , , , , ,12, , , ,
2.2381, , , , , , , ,35, , , , , , , , ,
2.2423, , , , , , , , , , , , , ,1, , ,
2.2457, , , , , , ,62, ,47,15, , ,11, , ,27,
2.2491, , ,71,6, , , , , , , , , , , , ,
2.255, , , , , , , , , , , , , ,0, , ,
2.2635, , , , , , , , , ,14, , , , , , ,
2.2661, ,99, , , , , ,34, , , , , , , , ,
2.2701, , , , , , , , , , , , , , ,39, ,
2.272, , , , , , , ,33, , , , , , , , ,
2.2754, , , , ,29, , , , , , , , , , , ,
2.278, , , , , , ,62,34, , , , , , , , ,
2.2839, , , ,5, , , , ,48, , , , , , , ,
2.2898, , , , , ,61, , , , , , , , , , ,
2.2924, , ,70, , , , , , , , , , , , , ,
2.2949, , , , , , , , , ,15, , , , , , ,
2.3026, , , , , , ,63, , , , , , , , , ,
2.3085, , , , , , ,62, , , , , , , , , ,
2.3144, , ,69, , , , , , , , , , , , , ,
2.3178, , , , , ,61, ,35, , , , , , , , ,
2.3195, , , , , , , , , , , ,17, , , , ,
2.3212, , , ,4, , ,62, , , , , , , , , ,
2.3272, , , , , , , , , ,14, , , , , , ,
2.3306, , , , , , , , , , , , ,12, , , ,
2.3348, , ,68, , , , , , , , , , , , , ,
2.3399, , , , , , ,63, , , , , , , , , ,
2.3425, , , , , , , , , ,15, , , , , , ,
2.3442, , ,69, , ,62, , ,49, , , , , , ,28,
2.356, , ,68, , , , , , , , , , , , , ,
2.3586, , , ,3, , , , , , , , , , , , ,
2.3637, , , , , , , , , , , , , , ,38, ,
2.3735, , , , ,30, , , , , , , , , , , ,
2.3764, , ,67, , , , , , , , , , ,1, , ,
2.3891, , , , , , ,63, , , , , , , , , ,
2.3925, , , , , , , , , , , , , ,0, , ,
2.3934, ,98, ,2, , ,64,36, , , , , , ,39,29,
2.3959, , , , , , , , , , , , ,11, , , ,
2.4019, , ,66, , ,63, , , , , , , , , , ,
2.4078, , , , , ,62, , , , , , , , , , ,
2.4137, , , , , ,63, , , , , , , , , , ,
2.4231, , , , ,31, , , , , , , , , , ,28,
2.4239, , ,65, , , , , , , , , , , , , ,
