Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0.5101,,,,,,,40,,,,,5,,,,,0.4730708673,8.3477211208,86.3160496029,76.2832423354,26.2326806759,51.0762803512,35.7099506638,3.6404562155,23.3724112818,0.0823211104,36.9829770558,15.6953132914,50.980465503,6.350462997,85.3394312493
0.5118,,,,,,35.7142857143,,,,41.1764705882,,,,,,,0.400001362,8.0432880778,86.6479548072,76.7862599235,26.7920195222,51.6989346475,36.2915709725,3.8482552299,23.8656297226,0.055707619,37.5404796459,16.1158619463,51.6109802573,6.6335710346,85.02506426
0.5177,,94.4444444444,,,,,,,,,,,,,,,0.332980193,7.74394799,86.9768083403,77.2845836047,27.3559680063,52.3221098136,36.8758520294,4.0626164964,24.3658127755,0.0341889538,38.1005237007,16.5416542633,52.2422696453,6.922925209,84.7079003234
0.5194,,,95.7446808511,,,,,23.5294117647,,,,,,,,,0.273182825,7.4555416061,87.2961569771,77.7684271637,27.9130976093,52.9332993869,37.451004966,4.2791329108,24.862832244,0.0180939447,38.6518385929,16.9640363927,52.8616554555,7.2125789936,84.3943509604
0.5364,,,95.7446808511,,,,,,,47.0588235294,,,,,,,0.2192374861,7.1720957989,87.6125760779,78.2477470767,28.4745188388,53.5448135899,38.02855244,4.5020579103,25.3666041822,0.0069959732,39.2054966037,17.3914064018,53.4816040605,7.5082265004,84.0781477203
0.5381,,,,54,,,,,,,,,,,,,0.1711644988,6.8936438745,87.9260665734,78.7225382575,29.0401627049,54.156565679,38.6084144523,4.7314422217,25.8771564538,0.0009471026,39.7614487225,17.8237385901,54.1020255246,7.8098635091,83.7593069873
0.5415,,,,,,,,,,,,,35.2941176471,,,,0.1289841855,6.6202190454,88.2366295497,79.1927970305,29.6099591212,54.7684690924,39.1905104054,4.9673356428,26.3945147216,0,40.31964557,18.2610068488,54.7228298261,8.1174852051,83.4378452288
0.5473,,,,,,34.5238095238,,,,,,,,,,,0.093300818,6.3565105448,88.5389034733,79.6504038884,30.173752006,55.369719902,39.7645095807,5.2054843649,26.9094635502,0.004089473,40.8702048492,18.6953980243,55.3330476585,8.4255425411,83.1194766657
0.5525,,,94.6808510638,,,,,,,,,,,,,,0.0633432202,6.0977175538,88.8383532019,80.1036322639,30.7414163914,55.9709516371,40.3405111288,5.4500091548,27.4310248873,0.0132058633,41.4228356613,19.1345011446,55.9434626762,8.7393654663,82.7986098476
0.5559,,,,,,,41.1111111111,,,,,,,,,,0.0391299852,5.8438710265,89.134979356,80.5524820828,31.3128830526,56.5720828223,40.9184387486,5.7009545147,27.9592166428,0.0274006309,41.9774902852,19.5782889588,56.5539894735,9.0589473531,82.475260603
