Time (min),per_ANIMO,per_ODE,
1710.1726, ,86.5905,
1712.3069, ,86.952,
1715.5083, ,87.3097,
1716.0105, ,87.66,
1719.7768, ,88.0066,
1722.9154, ,88.3494,
1723.857, ,88.6885,
1726.6818, ,89.0209,
1728.816,64.7059, ,
1730.3854, ,89.3496,
1734.1517, ,89.6747,
1736.7881, ,89.996,
1737.8553, ,90.3114,
1739.9895, ,90.6232,
1741.3078, ,90.9312,
1744.7602, ,91.2356,
1746.3923, ,91.5348,
1749.5937, ,91.8304,
1752.2302, ,92.1222,
1757.0636, ,92.4104,
1758.1308, ,92.6941,
1758.633, ,92.9741,
1761.3322, ,93.2503,
1762.0854,58.8235, ,
1762.5248,64.7059, ,
1763.4664, ,93.5227,
1765.2868,58.8235, ,
1766.2912,64.7059, ,
1767.17, ,93.7916,
1768.9276,58.8235, ,
1772.4429,52.9412, ,
1773.51,58.8235, ,
1775.5815,52.9412, ,
1776.7742, ,94.0566,
1777.0881,58.8235, ,
1779.034,52.9412, ,
1779.4106, ,94.3177,
1780.4778,58.8235, ,
1782.2354,52.9412, ,
1782.612, ,94.5748,
1784.2441,58.8235,94.8295,
1784.7463, ,95.08,
1785.6251,52.9412, ,
1786.8806, ,95.3263,
1787.8849,58.8235, ,
1788.8893,52.9412, ,
1790.082, ,95.5682,
1791.5257,58.8235, ,
1791.9651,52.9412, ,
1793.2833, ,95.8092,
1796.4847, ,96.0455,
1798.4307,52.9412, ,
1799.435,52.9412, ,
1799.6861, ,96.2769,
