Time (min),CRY_ANIMO,CRY_ODE,
1458.769,88.2979, ,
1459.2711,87.234, ,
1460.8405, ,98.999,
1462.9747, ,98.8794,
1463.2258,86.1702, ,
1463.4769,87.234, ,
1464.6068,86.1702, ,
1465.6112, ,98.7535,
1468.5615,85.1064, ,
1468.8126, ,98.724,
1469.0009,86.1702, ,
1469.9425,85.1064, ,
1470.4446, ,98.6942,
1470.884,86.1702, ,
1471.2607,85.1064, ,
1471.5118, ,98.6641,
1474.1482,85.1064, ,
1475.3409,84.0426, ,
1478.9189, ,98.6337,
1479.735,82.9787, ,
1480.0488,84.0426, ,
1480.551, ,98.603,
1481.0532,82.9787, ,
1483.7524, ,98.5719,
1483.8779,81.9149, ,
1484.2546,82.9787, ,
1485.3217,81.9149, ,
1488.272,80.8511, ,
1488.7114,81.9149, ,
1489.653,80.8511, ,
1489.9041, ,98.5405,
1491.7245, ,98.5088,
1492.5405,79.7872, ,
1493.6077,79.7872, ,
1495.3025,78.7234, ,
1495.7419,79.7872, ,
1496.9974,78.7234, ,
1499.6966, ,98.4709,
1500.0105,77.6596, ,
1501.8309, ,98.4325,
1502.3958, ,98.3937,
1502.898,76.5957, ,
1503.9651, ,98.3544,
1506.0994,75.5319, ,
1507.6687,74.4681, ,
1507.7315, ,98.2065,
1510.8073,73.4043, ,
1511.435, ,98.0526,
1512.4394,72.3404, ,
1515.1386, ,97.8929,
1515.6408,71.2766, ,
1517.2101,70.2128, ,
1518.7794,69.1489, ,
1520.5371,68.0851, ,
1521.0392, ,97.7272,
1521.5414, ,97.5586,
1522.4202,67.0213, ,
1523.1735, ,97.3843,
1524.2406,65.9574, ,
1524.7428, ,97.2044,
1525.8099,64.8936, ,
1527.6931,63.8298, ,
1527.9442, ,97.0191,
1529.6391,62.766, ,
1531.3967,61.7021, ,
1533.2799,60.6383,96.8271,
1535.163,59.5745, ,
1535.4141, ,96.6297,
1536.9834, ,96.4267,
1537.0462,58.5106, ,
1538.9922,57.4468, ,
1540.1848, ,96.2184,
1540.9381,56.383, ,
1543.0096,55.3191, ,
1545.3322,54.2553, ,
1545.5205, ,96.002,
1546.3365, ,95.7801,
1547.4664,53.1915, ,
1547.6548, ,95.5527,
1549.6635,52.1277, ,
1550.354, ,95.3199,
1552.0488,51.0638, ,
1553.5554, ,95.0771,
1554.3714,50, ,
1556.6312,48.9362, ,
1558.891,47.8723, ,
1560.9625, ,94.8286,
1561.4647,46.8085, ,
1562.5946, ,94.5747,
1563.0968, ,94.3152,
1563.9756,45.7447, ,
1566.5493,44.6809, ,
1569.0602,43.617, ,
1570.5667, ,94.043,
