Time (min),cwo_ANIMO,cwo_ODE,
511.0933,69.0476, ,
511.4699,67.8571, ,
513.0392, ,86.8174,
514.2319,66.6667, ,
514.6713,65.4762, ,
515.4874,65.4762, ,
516.8056, ,86.7347,
517.8727, ,86.6518,
519.2537,64.2857, ,
519.6931,63.0952, ,
520.4464, ,86.5688,
521.5763, ,86.4855,
522.6434, ,86.0667,
523.3967,63.0952, ,
523.8361,61.9048, ,
524.7777, ,85.6436,
524.9032,60.7143, ,
527.4141, ,85.2163,
527.5397,59.5238, ,
527.9163,59.5238, ,
529.9878,58.3333, ,
530.4272,57.1429, ,
533.3147,57.1429, ,
533.7541,55.9524, ,
534.3819, ,84.785,
535.7001,54.7619, ,
535.9512, ,84.7486,
536.2023,53.5714, ,
538.0854, ,84.7123,
539.1526, ,84.6759,
539.9058,52.381, ,
540.2197, ,84.6395,
540.408,52.381, ,
541.4124, ,84.6323,
542.1029,50, ,
545.0532,50, ,
545.4926,48.8095, ,
548.3801,47.619, ,
549.2589, ,84.6251,
549.3217,46.4286, ,
549.8239,45.2381, ,
550.2005,46.4286, ,
551.1421,45.2381, ,
551.5815,45.2381, ,
553.0253, ,84.618,
553.7786,44.0476, ,
554.0924, ,84.6108,
554.218,44.0476, ,
556.4778,41.6667, ,
556.9172,41.6667, ,
557.796, ,84.6103,
559.1142,40.4762, ,
559.4908,41.6667, ,
559.9303,40.4762, ,
561.4996, ,84.6098,
561.7507,39.2857, ,
562.0017, ,84.6093,
562.0645, ,84.6089,
562.5667, ,84.6085,
563.5083,38.0952, ,
564.0105,39.2857, ,
564.3871,38.0952, ,
564.701, ,84.6081,
564.8265,36.9048, ,
565.2659,35.7143, ,
565.5798,36.9048, ,
565.7681, ,84.6077,
566.0192,35.7143, ,
567.9024, ,84.6073,
567.9651,34.5238, ,
568.4673,35.7143, ,
568.7812,34.5238, ,
569.8483,33.3333, ,
570.2877,33.3333, ,
571.6059,33.3333, ,
572.0453,32.1429, ,
574.3051,30.9524,84.607,
574.7446,29.7619, ,
575.184,30.9524, ,
575.3723, ,84.6066,
575.6234,28.5714, ,
577.6321,27.381, ,
578.0715, ,84.6062,
579.578,26.1905, ,
580.4568,26.1905, ,
581.3357,25, ,
582.1517,23.8095, ,
582.5911,25,84.6058,
582.9677,23.8095, ,
584.1604,22.619, ,
584.5998,23.8095, ,
584.7254,22.619, ,
585.9808,21.4286, ,
586.4202,22.619, ,
586.9224,21.4286, ,
587.9895,20.2381, ,
588.68, ,84.6039,
589.7472,19.0476, ,
591.3793, ,84.602,
591.8187,17.8571, ,
591.8814, ,84.6001,
592.7602,16.6667, ,
593.1369,17.8571, ,
593.5763,16.6667, ,
594.6434,15.4762, ,
595.5222,15.4762, ,
596.5894,14.2857, ,
597.4054,13.0952, ,
598.2842, ,84.5983,
599.3514,11.9048, ,
600.3557,10.7143, ,
600.8579,11.9048, ,
601.2345,10.7143, ,
602.3017,9.5238, ,
603.2432,8.3333, ,
605.1264,7.1429, ,
606.1935,5.9524, ,
607.3235, ,84.5888,
608.2023,4.7619, ,
609.2066,3.5714, ,
610.1482,2.381, ,
610.5876,3.5714, ,
610.8387,2.381, ,
612.0314,1.1905, ,
612.6591, ,84.5793,
613.2868,0, ,
615.4839, ,84.5699,
618.5597, ,84.5604,
625.4647, ,84.513,
626.0924,1.1905, ,
626.469,0, ,
627.599, ,84.4656,
628.9172, ,84.4181,
629.7332, ,84.3706,
632.9346, ,84.1324,
638.7724, ,83.893,
640.6556, ,83.6525,
642.5388, ,83.411,
644.1081, ,82.9691,
645.6774, ,82.5238,
649.4438, ,82.0751,
649.9459, ,81.6231,
653.1473, ,81.1531,
656.3487, ,80.6799,
660.1151, ,80.2035,
661.6844, ,79.7241,
665.1369, ,79.2013,
669.6565, ,78.6751,
670.7236, ,78.1458,
671.2886, ,77.6135,
673.4228, ,77.0275,
682.4621, ,76.4382,
683.5292, ,75.8458,
690.4342, ,75.2504,
693.6356, ,74.5809,
695.2677, ,73.9082,
697.4019, ,73.2323,
697.9041, ,72.5537,
706.9433, ,71.7602,
708.5754, ,70.9635,
719.2467, ,70.1639,
719.7489, ,69.3617,
721.8832, ,68.3349,
722.6364, ,67.3051,
723.5153, ,66.273,
724.5824, ,65.2393,
727.2188, ,64.2077,
729.8553, ,63.1758,
731.4874, ,62.1439,
735.7559, ,61.1129,
738.3923, ,60.0844,
739.2084, ,59.0577,
742.1587, ,58.0333,
745.3601, ,57.0118,
747.9965, ,56.1899,
751.1979, ,55.3703,
753.3322, ,54.5534,
755.4664, ,53.7393,
755.4664, ,53.0276,
757.0357, ,52.3183,
760.8021, ,51.6117,
763.4385, ,50.9079,
765.5728, ,50.2538,
765.5728, ,49.6023,
767.2049, ,48.9536,
769.2764, ,48.3078,
777.3112, ,47.6941,
778.3784, ,47.0832,
780.5126, ,46.4751,
782.6469, ,45.87,
785.8483, ,45.2885,
786.8527, ,44.7099,
788.9869, ,44.1342,
794.3226, ,43.5615,
800.9765, ,43.0073,
802.8596, ,42.456,
804.4917, ,41.9077,
806.626, ,41.3624,
807.6931, ,40.8321,
809.2624, ,40.3048,
809.7646, ,39.7805,
817.2345, ,39.2593,
821.0009, ,38.7505,
827.9058, ,38.2448,
829.5379, ,37.7421,
830.5423, ,37.2425,
831.6094, ,36.7535,
834.3086, ,36.2675,
842.2807, ,35.7846,
843.9128, ,35.3047,
852.4499, ,34.834,
854.0192, ,34.3664,
855.5885, ,33.9018,
857.7228, ,33.4403,
863.6234, ,32.9868,
867.3269, ,32.5364,
868.3941, ,32.089,
870.5283, ,31.6447,
874.2319, ,31.2075,
877.9983, ,30.7734,
882.769, ,30.3423,
884.9032, ,29.9142,
888.6696, ,29.4925,
891.871, ,29.0739,
893.4403, ,28.6583,
896.0767, ,28.2457,
898.211, ,27.8389,
899.2781, ,27.4351,
903.0445, ,27.0344,
903.9233, ,26.6367,
911.0166, ,26.2442,
914.218, ,25.8547,
916.7289, ,25.4683,
917.4194, ,25.0848,
918.4865, ,24.7063,
920.0558, ,24.3307,
920.6207, ,23.9581,
921.6879, ,23.5885,
923.8221, ,23.2234,
927.5257, ,22.8614,
930.0366, ,22.5023,
932.3592, ,22.1461,
933.9285, ,21.7943,
937.6321, ,21.4455,
941.3984, ,21.0996,
943.3444, ,20.7566,
945.102, ,20.7364,
948.3034, ,20.7162,
952.0697, ,20.696,
952.5719, ,20.6758,
953.6391, ,20.6725,
955.7733, ,20.6692,
956.6521, ,20.6659,
958.9747, ,20.6626,
962.1761, ,20.6605,
964.3104, ,20.6583,
966.9468, ,20.6561,
973.3496, ,20.6539,
976.551, ,20.6517,
977.0532, ,20.6495,
978.1203, ,20.6473,
980.2546, ,20.6451,
987.7245, ,20.6429,
991.4908, ,20.6406,
996.2616, ,20.6384,
998.3958, ,20.6362,
1003.1665, ,20.625,
1006.9329, ,20.6138,
1009.0671, ,20.6026,
1010.6364, ,20.5915,
1012.2685, ,20.5357,
1014.4028, ,20.48,
1014.905, ,20.4244,
1016.8509, ,20.3688,
1018.1064, ,20.3161,
1018.6085, ,20.2635,
1019.6757, ,20.2109,
1020.7428, ,20.1584,
1022.8771, ,19.897,
1031.4141, ,19.6374,
1033.5484, ,19.3795,
1038.884, ,19.1235,
1041.5205, ,18.741,
1044.2197, ,18.3626,
1050.0575, ,17.9882,
1051.6896, ,17.6179,
1054.891, ,17.274,
1058.0924, ,16.9336,
1060.1639, ,16.5968,
1061.796, ,16.2636,
1062.8631, ,15.9523,
1065.4996, ,15.6441,
1070.333, ,15.3392,
1074.0366, ,15.0374,
1074.6016, ,14.7569,
1076.7358, ,14.4793,
1080.4394, ,14.2045,
1081.5065, ,13.9326,
1083.6408, ,13.6788,
1085.2101, ,13.4277,
1086.8422, ,13.1791,
1090.5458, ,12.9331,
1092.1779, ,12.6988,
1093.245, ,12.4669,
1096.4464, ,12.2375,
1099.0828, ,12.0105,
1102.7864, ,11.7848,
1104.9207, ,11.5616,
1108.1221, ,11.3409,
1110.8213, ,11.1227,
1115.592, ,10.89,
1118.7934, ,10.6602,
1120.9276, ,10.4334,
1121.9948, ,10.2095,
1124.129, ,9.9875,
1125.1962, ,9.7685,
1126.2633, ,9.5524,
1134.8003, ,9.3394,
1140.136, ,9.125,
1142.7724, ,8.9138,
1145.4089, ,8.7057,
1149.1752, ,8.5007,
1151.8117, ,8.2912,
1152.3766, ,8.085,
1156.0802, ,7.8822,
1159.2816, ,7.6826,
1161.4159, ,7.4757,
1163.5501, ,7.2724,
1166.7515, ,7.0727,
1172.0872, ,6.8766,
1172.5894, ,6.6708,
1175.7908, ,6.469,
1180.0593, ,6.2712,
1181.6914, ,6.0773,
1183.7629, ,5.8728,
1184.83, ,5.6727,
