Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
353.88,,100,,,,,,,,,,,,,,
354.28,,,,,,,,,,,61.2903225806,,,,,
358.32,,,,14.8148148148,,,,,,,,81.6901408451,,,,
359.84,,,,,,,,,,,,,,,87.5,
363.54,,,,,,,,,,,,83.0985915493,,,,
365.62,,,,,,,,,,,,,98.0769230769,,,
367,96.1538461538,,,,,,,,,,,,,,88.75,
368.9,,,,,,,68.5714285714,,,,,84.5070422535,,,,
369.72,,,,,,,,,,,58.064516129,,,,,
371.16,,,,,,,,,,,,,,,,88.8888888889
372.18,,,,,,,,92.5,,,,,,,,
374.58,,,,,,78.9473684211,,,,,,85.9154929577,,,,
375.14,,,,,,,,,,,,,,,90,
380.6,,,,,,,,,,,,87.323943662,,,,
383.5,,,,,,,,,,,,,,,91.25,
385,92.3076923077,,,,,,,,,,,,,,,
387,,,,,,,65.7142857143,,,,,88.7323943662,,,,
388.96,,,,,,,,,,,54.8387096774,,,,,
392.1,,,,,,,,,,,,,,,92.5,
393.416,,,,11.1111111111,,,,,,,,,,,,
393.86,,,,,,,,,,,,90.1408450704,,,,
396.36,,,,,53.3333333333,,,,,,,,,,,
400.58,,,,,,,,,,,,,100,,,
400.86,88.4615384615,96.1538461538,,,,73.6842105263,62.8571428571,,,,,91.5492957746,,,,86.1111111111
402.14,,,,,,,,,,,,,,,93.75,
407.82,,,,,,,,,,,,92.9577464789,,,,
412.54,,,,,,,,,,,,,,,95,
413.58,84.6153846154,,,,,,,,,,,,,,,
414.36,,,,,,,,,,,51.6129032258,,,,,
415.62,,,,,,,60,90,,,,94.3661971831,,96.4285714286,,
422.66,,,,,,,,,,,,,,,,83.3333333333
424.08,,,,,,,,,,,,95.7746478873,,,,
425.2,80.7692307692,,,,,,,,,,,,,,96.25,
426.26,,92.3076923077,,,,,57.1428571429,,,,,,,,,
428.2,,,,,,,,,,,48.3870967742,,,,,
430.76,,,,,46.6666666667,68.4210526316,,,,,,,,,,
433.456,,,,7.4074074074,,,,,,,,97.1830985915,,,,
436.88,76.9230769231,,,,,,,,,,,,,,,
438.2,,,,,,,,,,,,,,,97.5,
443.62,,,,,,,,,,,,98.5915492958,,,,
446.06,,,,,,,,,,,,,,,,80.5555555556
447.756,73.0769230769,88.4615384615,,,,,54.2857142857,87.5,,,45.1612903226,,,,,
455.1,,,,,,,,,,,,100,,,98.75,
457.52,69.2307692308,,,,,,,,,,,,,,,
458.82,,,,,,,,,,,,,98.0769230769,92.8571428571,,
462.056,,,,,,63.1578947368,,,,,,,,,,
464.916,,84.6153846154,,,,,51.4285714286,,,,,,,,,77.7777777778
467.776,65.3846153846,,,,,,,,,,,,,,,
469.02,,,,,,,,,,94.4444444444,41.935483871,,,,,
473.02,,,,,,,,85,,,,,,,,
477.82,61.5384615385,,,,,,,,,,,,,,,
478.16,,80.7692307692,,,40,,48.5714285714,,,,,,,,100,
479.216,,,,3.7037037037,,,,,,,,,,,,
480.3,,,,,,,,,,,,,,,,75
485.84,,,,,,,,,,,38.7096774194,,,,,
486.7,57.6923076923,,,,,,,,,,,,,,,
487.96,,,,,,57.8947368421,,,,,,,,,,
490.72,,76.9230769231,,,,,45.7142857143,,,,,,,,,
491.22,,,,,,,,,,,,,96.1538461538,89.2857142857,,
492.86,,,,,,,,82.5,,,,,,,,
496,53.8461538462,,,,,,,,,,,,,,,
496.62,,,,,,,,,,,,,,,,72.2222222222
503.44,,73.0769230769,,,,,,,,,,,,,,
503.96,,,,,,,42.8571428571,,,,35.4838709677,,,,,
505.34,50,,,,,,,,,,,,,,,
508.34,,,,,,,,80,,,,,,,,
510.82,,,,,,,,,,,,,,,,69.4444444444
514.72,46.1538461538,69.2307692308,,,33.3333333333,52.6315789474,,,,,,,,,,
520.22,,,,,,,,,,,,,94.2307692308,,,
523.76,,,,,,,40,,,,32.2580645161,,,85.7142857143,,
524.14,42.3076923077,,,,,,,,,,,,,,,
525.26,,65.3846153846,,,,,,77.5,,,,,,,,
525.66,,,,,,,,,,,,,,,,66.6666666667
531.92,,,,0,,,,,,,,,,,,
533.6,38.4615384615,,,,,,,,,,,,,,,
534.02,,,,,,,,,,88.8888888889,,98.5915492958,,,,
535.04,,61.5384615385,,,,,37.1428571429,,,,,,,,,
538.92,,,,,,,,,,,29.0322580645,,,,,63.8888888889
539.276,,,,,,,,75,,,,,,,,
543.12,34.6153846154,,,,,,,,,,,,92.3076923077,,,
545.36,,57.6923076923,,,,,,,,,,,,82.1428571429,,
545.82,,,,,,47.3684210526,,,,,,,,,,
546.6,,,,,,,34.2857142857,,,,,,,,,
552.42,,,,,26.6666666667,,,,,,,,,,98.75,61.1111111111
553.68,30.7692307692,,,,,,,72.5,,,,,,,,
555.036,,53.8461538462,,,,,,,,,,,,,,
557.2,,,,,,,,,,,25.8064516129,,,,,
560.38,,,,,,,,,,,,97.1830985915,90.3846153846,,,
563.88,26.9230769231,,,,,,,,,,,,,,,
565.016,,50,,,,,31.4285714286,,,,,,,78.5714285714,,58.3333333333
565.9,,,,,,,,70,,,,,,,,
571.82,,,,,,42.1052631579,,,,,,,,,,
572.38,,,,,,,,,,,,,,,97.5,
574.38,,,,,,,,,,,,,88.4615384615,,,
575.36,23.0769230769,46.1538461538,,,,,28.5714285714,,,83.3333333333,22.5806451613,95.7746478873,,,,
577.28,,,,,,,,,,,,,,,,55.5555555556
579.316,,,,,,,,67.5,98.6486486486,,,,,,,
584.28,,,,,,,,,,,,,,75,,
586.34,19.2307692308,42.3076923077,1,,20,,25.7142857143,,,,,,86.5384615385,,,
586.72,,,,,,,,,,,,94.3661971831,,,,
588.8,,,,,,,,,,,19.3548387097,,,,96.25,52.7777777778
590.02,,,,,,,,65,,,,,,,,
591.116,,,2,,,,,,,,,,,,,
594.02,,,,,,36.8421052632,,,,,,,,,,
595.456,,,3,,,,,,,,,,,,,
596.84,15.3846153846,38.4615384615,,,,,,,97.2972972973,,,,,,,
598.396,,,4,,,,,,,,,,,,,
599.62,,,,,,,,,,,,92.9577464789,,,,
600.5,,,,,,,,,,,,,84.6153846154,,,
601.256,,,5,,,,,,,,,,,,,
602.9,,,,,,,,,,,,,,,95,50
603.856,,,6,,,,,,,,,,,,,
604.68,,,,,,,,62.5,,,,,,71.4285714286,,
606.236,,,7,,,,,,,,,,,,,
607.96,,34.6153846154,,,,,22.8571428571,,,,16.1290322581,,,,,
608.74,11.5384615385,,8,,,,,,,,,,,,,
609.36,,,,,,,,,,77.7777777778,,91.5492957746,,,,
610.476,,,9,,,,,,,,,,,,,
611.416,,,,,,,,,95.9459459459,,,,,,,
612.52,,,10,,,,,,,,,,82.6923076923,,,
614.18,,,11,,,,,,,,,,,,,
615.58,,,,,,,,,,,,,,,93.75,47.2222222222
