Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
241.696,,,,100,,,,,70,,,,,,,
242.622,,,,,,,,,,,,,,66.6666666667,,
242.992,,,,98.9795918367,,,,,,,,,,,,
243.72,,,,100,,,,,,,,,,,,
244.384,,,,,,,,,,,,,,,,56.4102564103
244.904,,,,98.9795918367,,,,,,,,,,,,
245.85,,,,100,,,,,,,,,,,,
246.44,,76.9230769231,,,,,,,,,34.2105263158,,,,,
247.168,,,,98.9795918367,,,,,,,,,,,,
247.904,,,,100,,,,,68,,,,,,,
248.952,,,,98.9795918367,13.3333333333,,,,,,,,,,,
249.952,,,,100,,,,,,,,,,,,
250.976,,,,98.9795918367,,,,,,,,82.6086956522,,,,53.8461538462
251.422,,,,,,,,,,,31.5789473684,,,,,
251.816,,,,100,,,,,,,,,,,,
253.226,,,,98.9795918367,,,,,,,,,,,,
253.456,,,,,,75,,,,,,,,,,
254.128,,,,100,,,,,,,,,,,,
255.024,,,,98.9795918367,,,,,66,,,,,62.962962963,,
255.864,66.6666666667,,,,,,,,,,,,,,,
256.16,,,,100,,,,,,,,,,,100,
257.296,,,,98.9795918367,,,,,,,28.9473684211,,,,,
257.888,,,,100,,,,,,,,,,,,
258.602,,,,,,,,,,,,,,,,51.2820512821
259.072,,,,98.9795918367,,,,,,,,,,,,
259.912,,,,100,,,,,,,,,,,,
261.142,,,,98.9795918367,,,,,,,,,,,,
261.936,,,,100,,,,,64,,,,,,,
263.12,,,,98.9795918367,,,,,,,26.3157894737,,,,,
263.96,,,,100,6.6666666667,,,,,,,,,,,
265.264,,,,98.9795918367,,,,,,,,,,,,
266.038,,,,100,,,,,,,,,,,,48.7179487179
266.72,,,,,,,,,,,,86.9565217391,,,,
267.21,,,,98.9795918367,,,,,,,,,,,,
268.048,,,,,,,,,,,,,,59.2592592593,,
268.362,,,,100,,,,,,,,,,,,
269.002,,,,,,,,,62,,,,,,,
269.192,,,,,,,,,,,23.6842105263,,,,,
269.494,,,,98.9795918367,,,,,,,,,,,,
270.032,,,,100,,,,,,,,,,,,
271.216,,,,98.9795918367,,,,,,,,,,,,
272.224,,,,100,,66.6666666667,,,,,,,,,,
273.6,,,,98.9795918367,,,,,,,,,,,,
273.914,61.1111111111,,,,,,,,,,,,,,,
274.116,,,,100,,,,,,,,,,,,46.1538461538
275.264,,,,98.9795918367,,,,,,,,,,,,
276.054,,,,,,,,,,,21.0526315789,,,,,
276.4,,,,100,,,,,60,,,,,,,
277.288,,,,98.9795918367,,,,,,,,,,,,
278.13,,,,100,,,,,,,,,,,,
279.312,,,,98.9795918367,,,,,,,,,,,,
280.176,,,,100,,,,,,,,,,,,
281.336,,,,98.9795918367,,,,,,,,,,,,
282.216,,,,100,,,,,,,,,,55.5555555556,,
282.576,,,,,0,,,,,,,,,,,
282.662,,,,,,,,,,,18.4210526316,,,,,43.5897435897
283.36,,,,98.9795918367,,,,,,,,,,,,
284.2,,,,100,,,,,58,,,91.3043478261,,,,
285.384,,,,98.9795918367,,,,,,,,,,,,
286.224,,,,100,,,,,,,,,,,,
287.536,,,,98.9795918367,,,,,,,,,,,,
288.248,,,,100,,,,,,,,,,,,
289.766,,,,98.9795918367,,,,,,,,,,,,
289.956,,,,,,,,,,,15.7894736842,,,,,
290.272,,,,,,58.3333333333,,,,,,,,,,
290.32,,,,100,,,,,,,,,,,,
291.72,,,,98.9795918367,,,,,,,,,,,,
291.836,55.5555555556,69.2307692308,,,,,,,,,,,,,,41.0256410256
292.49,,,,100,,,,,56,,,,,,,
293.5,,,,98.9795918367,,,,,,92.3076923077,,,,,,
294.32,,,,100,,,,,,,,,,,,
295.504,,,,98.9795918367,,,,,,,,,,,,
296.344,,,,100,,,,,,,,,,,,
297.66,,,,98.9795918367,,,,,,,,,,,,
297.982,,,,,,,,,,,13.1578947368,,,51.8518518519,,
298.368,,,,100,,,,,,,,,,,,
299.754,,,,98.9795918367,,,,,,,,,,,,
300.662,,,,100,,,,,,,,,,,,
301.036,,,,,,,,,54,,,,,,,
301.576,,,,98.9795918367,,,,,,,,,,,,38.4615384615
302.478,,,,100,,,,,,,,,,,,
303.796,,,,98.9795918367,,,,,,,,,,,,
304.44,,,,100,,,,,,,,,,,,
305.624,,,,98.9795918367,,,,,,,,,,,,
306.464,,,,100,,,,,,,10.5263157895,,,,,
307.926,,,,98.9795918367,,,,,,,,,,,,
308.834,,,,100,,,,,,,,,,,,
309.94,50,,,98.9795918367,,,,,52,,,,,,,
310.65,,,,100,,50,,,,,,95.652173913,,,,
312.056,,,,98.9795918367,,,,,,,,,,,,35.8974358974
312.626,,,,100,,,,,,,,,,,,
313.72,,,,98.9795918367,,,,,,,,,,,,
314.56,,,,100,,,,,,,,,,,,
315.26,,,,,,,,,,,,,,48.1481481481,,
316.098,,,,98.9795918367,,,,,,,,,,,,
316.584,,,,100,,,,,,,7.8947368421,,,,,
317.948,,,,98.9795918367,,,,,,,,,,,,
318.822,,,,100,,,,,,,,,,,,
319.204,,,,,,,,,50,,,,,,,
319.792,,,,98.9795918367,,,,,,,,,,,,
320.638,,,,100,,,,,,,,,,,,
321.816,,,,98.9795918367,,,,,,,,,,,,
322.66,,,,100,,,,,,,,,,,,
323.362,,,,,,,,,,,,,,,,33.3333333333
324.128,,,,98.9795918367,,,,,,,,,,,,
324.68,,,,100,,,,,,,,,,,,
326.086,,,,98.9795918367,,,,,,,,,,,,
326.994,,,,100,,,,,,,5.2631578947,,,,,
327.888,,,,98.9795918367,,,,,,,,,,,,
328.268,44.4444444444,61.5384615385,,,,,,,,,,,,,,
328.944,,,,100,,,,,48,,,,,,,
