Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
1373.54, , , , , , , , , , , , ,28, , , ,
1373.976, , , , , , , ,51, , , , , , , , ,
1374.598, , , , , , , , , , , , , , ,34, ,
1380.194, , , , , , , , , , , ,16, , , , ,
1382.96, , , , , , , ,52, , , , , , , , ,
1385.66, , , , , , , , , , , , , , ,35, ,
1389.856, , , , , , , , , ,12, , , , , , ,
1390.7, , , ,21, , , , , , , , ,29, , , ,
1392.28, , , , , , , ,53, , , , , , , , ,
1396.754, , , , , , , , ,30, , , , , , , ,
1397.196, , , , , , , , , , , , , , ,36, ,
1398.506, , , , , , , , , , , ,17, , , , ,
1401.32, , , , , , , ,54, , , , , , , , ,
1401.944, , , , , , , , , , , , , ,21, , ,
1402.852, , , , , , , , , , ,20, , , , , ,
1406.14, , , , , , , , , , , , ,30, , , ,
1408.54, , , , , , , , , , , , , , ,37, ,
1409.718, , , , , , , , , , , , , , , ,22,
1410.1, , , , , , , ,55, , , , , , , , ,
1413.416, , , ,20, , , , , , , , , , , , ,
1417.836, , , , ,7, ,17, , , , ,18, , , , ,
1419.728, , , , , , , ,56, , , , , , ,38, ,
1423.5, , , , , , , , , , , , ,31, , , ,
1429.332, , , , , , , ,57, , , , , , , , ,
1429.994, , , , , , , , , ,13, , , , , , ,
1430.744, , , , , , , , , , , , , , ,39, ,
1432.36, , , , , , , , ,31, , , , , , , ,
1434.02, , , , , , , , , , , ,19, , , , ,
1438.476, , , , , , , ,58, , , , , , , , ,
1439.104, , , ,19, , , , , , , , , , , , ,
1440,7,5,0,19,7,8,17,58,31,13,20,19,31,21,39,22,
