Time (min),PDP1_ANIMO,PDP1_ODE,
1217.0436, ,1.1674,
1217.4454, ,1.312,
1218.7513, ,1.465,
1220.007, ,1.6266,
1222.5686, ,1.7966,
1223.84,21.6216, ,
1226.8379, ,1.9762,
1228.5455, ,2.1644,
1229.8012, ,2.3612,
1232.3628, ,2.5666,
1233.416,20.2703, ,
1236.6321, ,2.7833,
1237.285, ,3.0088,
1238.3398, ,3.2431,
1240.4995, ,3.4863,
1243.0611, ,3.7433,
1244.168,18.9189, ,
1248.9878, ,4.0094,
1250.2937, ,4.2848,
1250.6955, ,4.5693,
1255.592,17.5676, ,
1256.6725, ,4.8711,
1258.3802, ,5.1826,
1262.1975, ,5.5038,
1262.6495, ,5.8346,
1265.6129, ,6.1715,
1265.672,16.2162, ,
1267.7726, ,6.5179,
1269.0283, ,6.8736,
1270.3342, ,7.2388,
1271.188, ,7.5854,
1274.1514, ,7.9402,
1275.4573, ,8.3029,
1276.08,14.8649, ,
1278.4207, ,8.6737,
1281.384, ,9.0321,
1283.5438, ,9.3976,
1286.4067, ,9.7703,
1288.072,13.5135, ,
1289.0687, ,10.1501,
1292.0824, ,10.5213,
1295.0457, ,10.899,
1295.8996, ,11.2833,
1298.0091, ,11.674,
1300.4,12.1622, ,
1300.5706, ,12.0583,
1301.8766, ,12.4486,
1303.5843, ,12.8449,
1304.4381, ,13.2473,
1306.5476, ,13.6445,
1306.9997, ,14.0474,
1309.5613, ,14.4559,
1310.4151, ,14.87,
1312.0726, ,15.28,
1312.9264, ,15.6953,
1314.6341, ,16.1159,
1314.668,10.8108, ,
1317.1957, ,16.5417,
1318.0495, ,16.964,
1323.1727, ,17.3914,
1325.3324, ,17.8237,
1327.894, ,18.261,
1329.94,9.4595, ,
1331.7112, ,18.6954,
1333.8208, ,19.1345,
1334.2728, ,19.5783,
1334.6746, ,20.0267,
1335.5284, ,20.4727,
1337.2362, ,20.9232,
1337.6882, ,21.378,
1341.1036, ,21.8373,
1342.8113, ,22.2945,
1351.7517, ,22.7558,
1354.715, ,23.2214,
1356.4228, ,23.6911,
1358.1304, ,24.159,
1359.4364, ,24.6309,
1360.692, ,25.1067,
1361.9477, ,25.5865,
1364.1075, ,26.0648,
1368.3767, ,26.5468,
1370.0844, ,27.0326,
1372.646, ,27.522,
1373.0478, ,28.0103,
1376.0614, ,28.5021,
1378.5727, ,28.9974,
1379.3261, ,29.4963,
1380.448,10.8108, ,
1381.5864, ,29.9943,
1384.5498, ,30.4956,
1387.5633, ,31.0003,
1389.6728, ,31.5083,
1390.5267, ,32.0159,
1392.2344, ,32.5267,
1393.2892, ,33.0406,
1396.0516, ,33.5576,
1397.3575, ,34.075,
1399.9191, ,34.5954,
1402.0287, ,35.1187,
1404,12.1622, ,
1405.8961, ,35.6449,
1406.75, ,36.1726,
1407.1518, ,36.703,
1409.3115, ,37.2362,
1411.0192, ,37.7721,
1413.9826, ,38.3112,
1419.5,13.5135, ,
1421.6673, ,38.8529,
1423.7768, ,39.3971,
1426.3383, ,39.9438,
1427.6442, ,40.4966,
1428.0461, ,41.0517,
1429.7538, ,41.6093,
1430.32,14.8649, ,
1432.3154, ,42.1692,
1434.8769, ,42.7397,
1437.4384, ,43.3125,
1439.5,16.2162, ,
1440,16.2162,43.8874,
