Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
427.7942,75.6846,29.7674,54.1699,19.6175,67.7253,97.601,95.9724,99.9174,90.1608,99.9907,82.3334,99.9984,95.6245,88.1393,94.6067,
428.8614,75.1848,30.4042,54.8821,19.0677,68.5396,97.3079,96.257,99.8723,90.6667,100,81.8578,99.9887,95.3406,88.621,94.2939,
431.5606,74.681,31.0452,55.5936,18.518,69.3486,96.9993,96.5314,99.8175,91.1598,99.9985,81.3778,99.9707,95.0485,89.0939,93.9734,
434.8875,74.1734,31.6906,56.3043,17.9685,70.1518,96.6755,96.7956,99.753,91.64,99.9861,80.8937,99.9445,94.7483,89.5577,93.6451,
437.3984,73.662,32.34,57.0141,17.419,70.9492,96.3367,97.0494,99.6789,92.107,99.963,80.4053,99.9102,94.44,90.0124,93.3093,
438.4656,73.1184,33.0292,57.7615,16.8395,71.7834,95.9634,97.3059,99.5903,92.5855,99.9271,79.8857,99.8652,94.1063,90.482,92.947,
442.1691,72.5707,33.7227,58.5076,16.2602,72.6104,95.574,97.5509,99.4909,93.0491,99.8793,79.3617,99.8111,93.7639,90.9412,92.5765,
442.7341,72.0189,34.4204,59.252,15.681,73.4297,95.1688,97.7844,99.3809,93.498,99.8197,78.8332,99.7481,93.4127,91.39,92.1978,
445.5588,71.463,35.122,59.9946,15.1021,74.2411,94.7483,98.0062,99.2603,93.932,99.7485,78.3004,99.6762,93.053,91.8282,91.8112,
450.204,70.8595,35.8824,60.7928,14.4784,75.1062,94.2781,98.2322,99.1185,94.383,99.6587,77.7214,99.5888,92.6559,92.2884,91.3856,
452.8405,70.2514,36.6469,61.5884,13.8549,75.9614,93.7909,98.4447,98.9644,94.8165,99.5556,77.1375,99.4911,92.249,92.7362,90.951,
460.3104,69.6388,37.4155,62.3813,13.2317,76.8061,93.2869,98.6436,98.798,95.2325,99.4392,76.5489,99.3833,91.8325,93.1713,90.5074,
470.9817,69.0218,38.188,63.1711,12.6088,77.6401,92.7667,98.829,98.6196,95.631,99.3097,75.9556,99.2653,91.4065,93.5936,90.055,
478.075,68.3162,39.0691,64.0638,11.9022,78.5732,92.157,99.0229,98.4024,96.0619,99.1468,75.2767,99.1192,90.9116,94.0574,89.5311,
479.456,67.6052,39.9546,64.952,11.1961,79.4913,91.5275,99.1992,98.1696,96.4702,98.9673,74.592,98.9603,90.4047,94.5045,88.9962,
480.5231,66.8889,40.8441,65.8354,10.4904,80.394,90.8789,99.358,97.9215,96.8558,98.7713,73.9018,98.7886,89.8862,94.9348,88.4506,
484.2895,66.1674,41.7374,66.7136,9.7853,81.2808,90.2117,99.4992,97.6581,97.2187,98.5589,73.2062,98.6042,89.3561,95.3481,87.8943,
487.7419,65.3861,42.7017,67.6518,9.0277,82.2158,89.4745,99.6315,97.3579,97.5835,98.3126,72.4524,98.392,88.7735,95.7734,87.2847,
490.1273,64.5991,43.6695,68.5833,8.2708,83.1313,88.7173,99.7434,97.0402,97.9222,98.0479,71.6927,98.1653,88.178,96.1788,86.6634,
492.2616,63.8066,44.6406,69.5076,7.5146,84.0265,87.9411,99.8351,96.7052,98.2347,97.765,70.9273,97.9244,87.5697,96.5642,86.0305,
493.8936,63.0089,45.6145,70.4244,6.7591,84.901,87.1465,99.9066,96.3531,98.5213,97.4641,70.1565,97.6694,86.9491,96.9294,85.3865,
495.4629,62.9273,45.7139,70.5174,6.6821,84.989,87.0645,99.9128,96.3162,98.549,97.4324,70.0776,97.6426,86.8852,96.9655,85.3202,
498.7271,62.8456,45.8134,70.6104,6.6052,85.0767,86.9823,99.9187,96.2792,98.5765,97.4006,69.9987,97.6157,86.8211,97.0014,85.2538,
500.7986,62.7639,45.9128,70.7033,6.5282,85.1643,86.9,99.9244,96.242,98.6037,97.3685,69.9197,97.5886,86.7569,97.0371,85.1873,
513.0392,62.6821,46.0123,70.796,6.4513,85.2516,86.8174,99.9299,96.2046,98.6307,97.3363,69.8406,97.5614,86.6925,97.0726,85.1206,
516.8056,62.6003,46.1119,70.8887,6.3743,85.3386,86.7347,99.9353,96.167,98.6573,97.3039,69.7615,97.534,86.6281,97.1078,85.0539,
517.8727,62.5184,46.2114,70.9813,6.2974,85.4255,86.6518,99.9404,96.1293,98.6837,97.2713,69.6824,97.5065,86.5635,97.1429,84.9871,
520.4464,62.4365,46.311,71.0739,6.2205,85.5121,86.5688,99.9452,96.0913,98.7099,97.2385,69.6032,97.4789,86.4987,97.1777,84.9201,
521.5763,62.3545,46.4106,71.1663,6.1435,85.5985,86.4855,99.9499,96.0532,98.7358,97.2056,69.5239,97.4511,86.4339,97.2123,84.853,
522.6434,61.9438,46.9088,71.6272,5.7591,86.0272,86.0667,99.9702,95.8601,98.8611,97.038,69.1268,97.3099,86.1078,97.3823,84.516,
524.7777,61.5319,47.4076,72.0859,5.3748,86.4501,85.6436,99.9852,95.6627,98.9798,96.866,68.7284,97.1652,85.7787,97.547,84.1762,
527.4141,61.1188,47.9068,72.5424,4.9908,86.8673,85.2163,99.995,95.4609,99.0917,96.6895,68.3288,97.0169,85.4465,97.7063,83.8336,
