Time (min),VRI_ANIMO,VRI_ODE,
1103.26,39.7436, ,
1104.0837, ,5.1577,
1104.9376, ,4.8766,
1107.4991, ,4.603,
1110.0607, ,4.3368,
1111.5,38.4615, ,
1113.0241, ,4.0786,
1115.9875, ,3.828,
1116.8413, ,3.5849,
1117.6952, ,3.3494,
1118.592,37.1795, ,
1119.0011, ,3.1212,
1121.5626, ,2.9006,
1124.1242, ,2.6878,
1126.072,35.8974, ,
1126.2337, ,2.4828,
1127.9414, ,2.2845,
1129.6492, ,2.094,
1133.76,34.6154, ,
1136.8818, ,1.941,
1141.1511, ,1.7622,
1141.68,33.3333, ,
1147.128, ,1.5921,
1149.86,32.0513, ,
1152.653, ,1.4308,
1158.24,30.7692, ,
1162.4472, ,1.2666,
1165.8626, ,1.198,
1166.78,29.4872, ,
1168.8762, ,1.0574,
1170.5839, ,0.9254,
1172.6935, ,0.802,
1175.255, ,0.7752,
1175.64,28.2051, ,
1176.5609, ,0.7488,
1177.4148, ,0.7229,
1183.3415, ,0.6975,
1184.6474, ,0.6725,
1184.762,26.9231, ,
1187.209, ,0.6479,
1192.1312, ,0.6238,
1193.278,25.641, ,
1193.5877, ,0.6001,
1199.9665, ,0.5727,
1201.6743, ,0.546,
1201.722,24.359, ,
1202.1263, ,0.5198,
1203.3819, ,0.4943,
1206.3956, ,0.4061,
1209.3589, ,0.3264,
1210.816,23.0769, ,
1212.3223, ,0.2553,
1217.0436, ,0.1928,
1217.4454, ,0.1398,
1218.7513, ,0.0952,
1219.92,21.7949, ,
1220.007, ,0.0591,
1222.5686, ,0.0315,
1226.8379, ,0.0123,
1228.5455, ,0.0018,
1229.144,20.5128, ,
1229.8012, ,0,
1232.3628, ,0.0069,
1236.6321, ,0.0229,
1237.285, ,0.0479,
1238.3398, ,0.082,
1238.98,19.2308, ,
1240.4995, ,0.1251,
1243.0611, ,0.1785,
1248.872,17.9487, ,
1248.9878, ,0.2414,
1250.2937, ,0.3139,
1250.6955, ,0.396,
1256.6725, ,0.4903,
1258.3802, ,0.5948,
1259.2,16.6667, ,
1262.1975, ,0.7096,
1262.6495, ,0.8346,
1265.6129, ,0.9685,
1267.7726, ,1.1125,
1269.0283, ,1.2666,
1269.94,15.3846, ,
1270.3342, ,1.4308,
1271.188, ,1.5921,
1274.1514, ,1.7622,
1275.4573, ,1.941,
1278.4207, ,2.1287,
1281.232,14.1026, ,
1281.384, ,2.3145,
1283.5438, ,2.5082,
1286.4067, ,2.7098,
1289.0687, ,2.9194,
1292.0824, ,3.128,
1292.66,12.8205, ,
1295.0457, ,3.344,
1295.8996, ,3.5673,
1298.0091, ,3.798,
1300.5706, ,4.0282,
1301.8766, ,4.2653,
1303.5843, ,4.5094,
1304.4381, ,4.7603,
1306.5476, ,5.0112,
1306.9997, ,5.2686,
1307,11.5385, ,
1309.5613, ,5.5325,
1310.4151, ,5.803,
1312.0726, ,6.0736,
1312.9264, ,6.3505,
1314.6341, ,6.6336,
1317.1957, ,6.9229,
1318.0495, ,7.2126,
1322.272,10.2564, ,
1323.1727, ,7.5082,
1325.3324, ,7.8099,
1327.894, ,8.1175,
1331.7112, ,8.4255,
1333.8208, ,8.7394,
1334.2728, ,9.0589,
1334.6746, ,9.3843,
1335.5284, ,9.7102,
1337.2362, ,10.0416,
1337.6882, ,10.3786,
1341.1036, ,10.7211,
1342.06,8.9744, ,
1342.8113, ,11.0643,
1351.7517, ,11.4128,
1354.715, ,11.7667,
1356.4228, ,12.126,
1358.1304, ,12.486,
1359.4364, ,12.8511,
1360.692, ,13.2215,
1361.9477, ,13.597,
1364.1075, ,13.9734,
1368.3767, ,14.3548,
1370.0844, ,14.7412,
1372.646, ,15.1325,
1373.0478, ,15.5249,
1376.0614, ,15.9222,
1378.5727, ,16.3243,
1379.3261, ,16.7312,
1381.5864, ,17.1394,
1384.5498, ,17.5523,
1387.5633, ,17.9699,
1389.6728, ,18.3921,
1390.5267, ,18.816,
1392.2344, ,19.2445,
1393.2892, ,19.6774,
1396.0516, ,20.1149,
1397.3575, ,20.5546,
1399.9191, ,20.9987,
1402.0287, ,21.4472,
1404,10.2564, ,
1405.8961, ,21.9001,
1406.75, ,22.3561,
1407.1518, ,22.8164,
1409.3115, ,23.281,
1411.0192, ,23.7498,
1413.9826, ,24.2233,
1421.6673, ,24.701,
1423.7768, ,25.1828,
1426.3383, ,25.6688,
1426.82,11.5385, ,
1427.6442, ,26.162,
1428.0461, ,26.6593,
1429.7538, ,27.1606,
1432.3154, ,27.666,
1434.8769, ,28.1829,
1437.4384, ,28.7039,
1440,11.5385,29.2289,
